Rank,Name,basename,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,img_url
44,Halo 3,halo-3,14.5,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_8373567AmericaFrontccc.jpg
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,pokmon-omega-ruby,14.17,,0.0,0.0,0.0,0.0,2014.0,/games/boxart/full_5184866AmericaFrontccc.png
46,Red Dead Redemption 2,red-dead-redemption-2,0.0,13.94,24.06,13.56,0.21,4.96,2018.0,/games/boxart/full_4653215AmericaFrontccc.jpg
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,0.0,13.86,37.52,38.12,3.32,13.55,2012.0,/games/boxart/full_1977964AmericaFrontccc.jpg
49,Super Mario Odyssey,super-mario-odyssey,13.76,,0.0,0.0,0.0,0.0,2017.0,/games/boxart/full_1659701AmericaFrontccc.jpg
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,0.0,13.53,33.54,25.88,1.98,9.63,2009.0,/games/boxart/full_809251AmericaFrontccc.jpg
51,Call of Duty: WWII,call-of-duty-wwii,0.0,13.4,23.77,16.31,0.4,05.02,2017.0,/games/boxart/full_4380292AmericaFrontccc.jpg
53,Super Smash Bros. Brawl,super-smash-bros-brawl,13.29,,0.0,0.0,0.0,0.0,2008.0,/games/boxart/full_4169332AmericaFrontccc.jpg
54,Grand Theft Auto III,grand-theft-auto-iii,0.0,13.1,6.99,4.56,0.3,1.3,2001.0,/games/boxart/3570928ccc.jpg
55,New Super Mario Bros. 2,new-super-mario-bros-2,13.08,,0.0,0.0,3.9,0.0,2012.0,/games/boxart/full_9872028AmericaFrontccc.jpg
56,Portal 2,portal-2,13.06,,11.2,5.55,0.15,02.05,2011.0,/games/boxart/full_portal-2_617AmericaFront.jpg
58,Super Mario Galaxy,super-mario-galaxy,12.78,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_5542974AmericaFrontccc.jpg
59,Pokemon Heart Gold / Soul Silver Version,pokmon-heart-gold,12.72,,0.0,0.0,0.0,0.0,2010.0,/games/boxart/full_2733841AmericaFrontccc.jpg
62,Super Mario 3D Land,super-mario-3d-land,12.41,,0.0,0.0,0.0,0.0,2011.0,/games/boxart/full_super-mario-3dland_167AmericaFront.jpg
63,Animal Crossing: New Leaf,animal-crossing-new-leaf,12.1,,0.0,0.0,0.0,0.0,2013.0,/games/boxart/full_7774244AmericaFrontccc.jpg
64,Super Smash Bros. Ultimate,super-smash-bros-ultimate,12.08,,0.0,0.0,0.0,0.0,2018.0,/games/boxart/full_8423750AmericaFrontccc.jpg
65,Diablo III,diablo-iii,12.0,,0.0,0.0,0.0,0.0,2012.0,/games/boxart/full_diablo-iii_550AmericaFront.jpg
66,Pokemon FireRed / LeafGreen Version,pokmon-firered,12.0,,0.0,0.0,0.0,0.0,2004.0,/games/boxart/full_5668335AmericaFrontccc.jpg
67,Gran Turismo 5,gran-turismo-5,11.95,,0.0,0.0,0.0,0.0,2010.0,/games/boxart/full_gran-turismo-5_118AmericaFront.png
68,Super Mario 64,super-mario-64,11.91,,0.0,0.0,0.0,0.0,1996.0,/games/boxart/full_9007863AmericaFrontccc.jpg
69,FIFA 18,fifa-18,0.0,11.8,8.47,24.34,0.85,3.73,2017.0,/games/boxart/full_5257064AmericaFrontccc.jpg
70,Gran Turismo 4,gran-turismo-4,11.76,,0.0,0.0,0.0,0.0,2005.0,/games/boxart/full_8555381AmericaFrontccc.jpg
71,Animal Crossing: Wild World,animal-crossing-wild-world,11.75,,0.0,0.0,0.0,0.0,2005.0,/games/boxart/full_8328377AmericaFrontccc.jpg
72,The Legend of Zelda: Breath of the Wild,the-legend-of-zelda-breath-of-the-wild,19.73,,0.0,0.0,0.0,0.0,2017.0,/games/boxart/full_4436858AmericaFrontccc.png
73,Super Mario Land 2: 6 Golden Coins,super-mario-land-2-6-golden-coins,11.18,,0.0,0.0,0.0,0.0,1992.0,/games/boxart/full_5947486AmericaFrontccc.jpg
74,Grand Theft Auto IV,grand-theft-auto-iv,0.0,11.09,30.8,25.76,2.34,9.44,2008.0,/games/boxart/full_1182151AmericaFrontccc.jpg
75,Super Mario 64 DS,super-mario-64-ds,11.06,,0.0,0.0,0.0,0.0,2004.0,/games/boxart/full_1719347AmericaFrontccc.jpg
76,Terraria,terraria,11.0,,2.2,3.45,1.3,0.65,2011.0,/games/boxart/full_terraria_497AmericaFront.jpg
77,FIFA 17,fifa-17,0.0,10.94,8.16,28.55,0.32,4.31,2016.0,/games/boxart/full_7661370AmericaFrontccc.jpg
78,Gran Turismo,gran-turismo,34.2,,0.3,0.2,0.0,0.0,1998.0,/games/boxart/6215143ccc.jpg
81,Super Mario All-Stars,super-mario-all-stars,10.55,,0.0,0.0,0.0,0.0,1993.0,/games/boxart/8836826ccc.jpg
82,Call of Duty: Ghosts,call-of-duty-ghosts,0.0,10.41,48.26,37.44,2.29,14.33,2013.0,/games/boxart/full_8522439AmericaFrontccc.jpg
83,Just Dance 3,just-dance-3,0.0,10.14,15.0,6.13,0.0,2.31,2011.0,/games/boxart/full_just-dance-3_883AmericaFront.jpg
85,Horizon: Zero Dawn,horizon-zero-dawn,10.0,,0.0,0.0,0.0,0.0,2017.0,/games/boxart/full_719511AmericaFrontccc.jpg
86,"Pokemon: Let's Go, Pikachu/Eevee"," pikachueevee""",10.0,,0.0,0.0,0.0,0.0,2018.0,/games/boxart/full_2669309AmericaFrontccc.jpg
87,RollerCoaster Tycoon 3,rollercoaster-tycoon-3,10.0,,0.0,0.0,0.0,0.0,2004.0,/games/boxart/full_6560922AmericaFrontccc.jpg
88,Halo: Reach,halo-reach,0.0,9.97,07.08,02.01,0.08,0.8,2010.0,/games/boxart/full_halo-reach_6AmericaFront.jpg
89,Portal,portal,9.97,,0.0,0.0,0.0,0.0,2008.0,/games/boxart/5574270ccc.jpg
90,Halo 4,halo-4,0.0,9.96,6.72,2.36,0.04,0.83,2012.0,/games/boxart/full_2236292AmericaFrontccc.png
91,Final Fantasy VII,final-fantasy-vii,15.6,,0.0,0.0,0.0,0.0,1997.0,/games/boxart/1190945ccc.jpg
92,Mario Kart 64,mario-kart-64,9.87,,0.0,0.0,0.0,0.0,1997.0,/games/boxart/full_8835641AmericaFrontccc.jpg
93,StarCraft,starcraft,9.5,,0.0,0.0,0.0,0.0,1998.0,/games/boxart/3959329ccc.jpg
94,Super Smash Bros. for 3DS,super-smash-bros-for-3ds,9.45,,0.0,0.0,0.0,0.0,2014.0,/games/boxart/full_4463374AmericaFrontccc.jpg
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,0.0,9.41,26.38,19.44,1.58,6.66,2007.0,/games/boxart/full_4481633AmericaFrontccc.jpg
96,Gran Turismo 2,gran-turismo-2,9.37,,0.0,0.0,0.0,0.0,1999.0,/games/boxart/45196ccc.jpg
97,Wii Party,wii-party,9.32,,0.0,0.0,0.0,0.0,2010.0,/games/boxart/full_wii-party_1AmericaFront.jpg
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,0.0,9.32,20.65,9.23,0.5,3.84,2018.0,/games/boxart/full_6532460AmericaFrontccc.jpg
99,Mario Party DS,mario-party-ds,9.31,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_7340729AmericaFrontccc.jpg
100,Donkey Kong Country,donkey-kong-country,29.35,,0.0,0.0,0.0,0.0,1994.0,/games/boxart/6431319ccc.jpg
101,FIFA 19,fifa-19,0.0,9.15,4.54,17.17,0.4,2.44,2018.0,/games/boxart/full_5970958AmericaFrontccc.jpg
102,Rust,rust,9.15,,0.0,0.0,0.0,0.0,2018.0,/games/boxart/full_9200722AmericaFrontccc.jpg
103,Marvel's Spider-Man,marvels-spider-man,9.0,,0.0,0.0,0.0,0.0,2018.0,/games/boxart/full_7960565AmericaFrontccc.jpg
104,Half-Life 2,half-life-2,8.88,,1.85,01.05,0.0,0.15,2004.0,/games/boxart/6354662ccc.jpg
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,0.0,8.88,27.2,29.08,1.65,9.1,2011.0,/games/boxart/full_the-elder-scrolls-v-skyrim_554AmericaFront.jpg
106,Mario Party 8,mario-party-8,8.85,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_7451822AmericaFrontccc.jpg
107,Super Mario Kart,super-mario-kart,8.76,,0.0,0.0,0.0,0.0,1992.0,/games/boxart/full_3980311AmericaFrontccc.jpg
109,Uncharted 4: A Thief's End,uncharted-4-a-thiefs-end,8.7,,0.0,0.0,0.0,0.0,2016.0,/games/boxart/full_2804791AmericaFrontccc.jpg
110,Final Fantasy VIII,final-fantasy-viii,11.5,,0.0,0.0,0.0,0.0,1999.0,/games/boxart/1184295ccc.jpg
111,Final Fantasy X,final-fantasy-x,17.95,,2.5,3.25,1.75,1.35,2001.0,/games/boxart/4912276ccc.jpg
112,Pokemon Black 2 and White 2,pokemon-black-2-and-white-2,8.52,,0.0,0.0,0.0,0.0,2012.0,/games/boxart/full_3674437AmericaFrontccc.png
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,0.0,8.48,18.26,11.98,0.19,3.71,2016.0,/games/boxart/full_5706058AmericaFrontccc.jpg
114,Fallout 4,fallout-4,0.0,8.48,20.46,15.67,0.37,4.14,2015.0,/games/boxart/full_2507140AmericaFrontccc.jpg
115,Mario Kart 8,mario-kart-8,8.42,,0.0,0.0,0.0,0.0,2014.0,/games/boxart/full_638065AmericaFrontccc.jpg
116,Tekken 3,tekken-3,8.3,,0.0,0.0,0.0,0.0,1998.0,/games/boxart/full_tekken-3_687AmericaFront.jpg
117,Pokemon: Ultra Sun and Ultra Moon,pokemon-ultra-sun-and-ultra-moon,8.28,,0.0,0.0,0.0,0.0,2017.0,/games/boxart/full_9155401AmericaFrontccc.png
118,Splatoon 2,splatoon-2,8.27,,0.0,0.0,0.0,0.0,2017.0,/games/boxart/full_7536933AmericaFrontccc.png
119,FIFA 16,fifa-16,0.0,8.22,11.2,29.72,0.32,05.03,2015.0,/games/boxart/full_862315AmericaFrontccc.jpg
120,GoldenEye 007,goldeneye-007,08.09,,4.2,3.0,0.0,0.0,1997.0,/games/boxart/2952086ccc.jpg
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,0.0,08.03,16.41,11.14,0.33,3.4,2015.0,/games/boxart/full_4873252AmericaFrontccc.jpg
122,FIFA 13,fifa-13,0.0,08.01,09.07,30.03,0.38,5.38,2012.0,/games/boxart/full_5731689AmericaFrontccc.jpg
123,Halo 2,halo-2,8.0,,0.05,0.3,0.0,0.05,2004.0,/games/boxart/2840502ccc.jpg
124,The Sims 3,the-sims-3,0.0,7.96,17.51,21.91,0.25,4.45,2009.0,/games/boxart/full_7487992AmericaFrontccc.jpg
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,0.0,7.72,10.7,9.83,0.64,4.24,2005.0,/games/boxart/1340019ccc.jpg
126,Pac-Man,pac-man,7.7,,1.35,0.4,4.25,0.1,1982.0,/games/boxart/3878609ccc.jpg
127,Pokemon Platinum Version,pokemon-platinum-version,7.6,,0.0,0.0,0.0,0.0,2009.0,/games/boxart/full_2423658AmericaFrontccc.jpg
128,The Legend of Zelda: Ocarina of Time,the-legend-of-zelda-ocarina-of-time,7.6,,0.0,0.0,0.0,0.0,1998.0,/games/boxart/full_1349358AmericaFrontccc.jpg
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,0.0,7.58,3.78,2.17,1.31,0.31,1997.0,/games/boxart/full_7543191AmericaFrontccc.jpg
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,0.0,7.53,41.94,26.59,1.19,9.17,2014.0,/games/boxart/full_514368AmericaFrontccc.jpg
131,Call of Duty: World at War,call-of-duty-world-at-war,0.0,7.5,27.38,15.96,0.0,6.31,2008.0,/games/boxart/full_3557116AmericaFrontccc.jpg
132,Super Mario Bros. 2,super-mario-bros-2,7.46,,0.0,0.0,0.0,0.0,1988.0,/games/boxart/2668604ccc.jpg
133,Super Mario Galaxy 2,super-mario-galaxy-2,7.41,,0.0,0.0,0.0,0.0,2010.0,/games/boxart/full_903954AmericaFrontccc.jpg
134,Super Smash Bros. Melee,super-smash-bros-melee,7.41,,0.0,0.0,0.0,0.0,2001.0,/games/boxart/full_404087AmericaFrontccc.jpg
136,Battlefield 3,battlefield-3,0.0,7.35,23.22,24.02,1.81,8.19,2011.0,/games/boxart/full_battlefield-3_439AmericaFront.jpg
137,The Legend of Zelda: Twilight Princess,the-legend-of-zelda-twilight-princess,14.41,,0.0,0.0,0.0,0.0,2006.0,/games/boxart/full_2379938AmericaFrontccc.jpg
138,Battlefield 1,battlefield-1,0.0,7.26,20.55,12.0,0.39,3.82,2016.0,/games/boxart/full_9032449AmericaFrontccc.png
140,Need for Speed Underground,need-for-speed-underground,0.0,7.2,13.22,8.58,0.13,1.62,2003.0,/games/boxart/9040231ccc.jpg
141,The Binding of Isaac,the-binding-of-isaac,7.17,,0.0,0.0,0.0,0.0,2011.0,/games/boxart/full_the-binding-of-isaac_366AmericaFront.jpg
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,0.0,7.13,3.68,1.75,1.42,0.28,1998.0,/games/boxart/8735469ccc.jpg
143,Pokemon Emerald Version,pokemon-emerald-version,07.06,,0.0,0.0,0.0,0.0,2005.0,/games/boxart/4017681ccc.jpg
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,yokai-watch-2-bony-spirits,07.03,,0.0,0.0,0.0,0.0,2016.0,/games/boxart/full_8088410AmericaFrontccc.png
145,Need for Speed Underground 2,need-for-speed-underground-2,0.0,6.9,15.21,9.97,0.13,1.89,2004.0,/games/boxart/full_868897AmericaFrontccc.jpg
146,Just Dance 4,just-dance-4,0.0,6.89,10.9,4.41,0.0,1.77,2012.0,/games/boxart/full_9463304AmericaFrontccc.jpg
147,Mario Kart: Double Dash!!,mario-kart-double-dash,6.88,,0.0,0.0,0.0,0.0,2003.0,/games/boxart/7829386ccc.jpg
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,0.0,6.84,2.77,2.81,0.19,01.06,2011.0,/games/boxart/full_uncharted-3-drakes-deception_174AmericaFront.jpg
149,Medal of Honor: Frontline,medal-of-honor-frontline,0.0,6.83,10.23,5.5,0.17,1.39,2002.0,/games/boxart/7583871ccc.jpg
150,Crash Bandicoot,crash-bandicoot,6.82,,0.0,0.0,0.0,0.0,1996.0,/games/boxart/full_5316597AmericaFrontccc.png
151,Zumba Fitness,zumba-fitness,0.0,6.76,13.57,5.92,0.0,02.02,2010.0,/games/boxart/full_zumba-fitness_1AmericaFront.jpg
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,0.0,6.74,3.28,2.22,0.21,01.02,2009.0,/games/boxart/full_2350454AmericaFrontccc.jpg
154,FIFA Soccer 12,fifa-soccer-12,0.0,6.65,07.04,25.23,0.31,06.07,2011.0,/games/boxart/full_fifa-soccer-12_475AmericaFront.jpg
155,FIFA 14,fifa-14,0.0,6.61,11.24,41.62,0.77,6.53,2013.0,/games/boxart/full_6002851AmericaFrontccc.jpeg
156,Red Dead Redemption,red-dead-redemption,0.0,6.57,21.67,12.73,0.62,4.0,2011.0,/games/boxart/full_7375558AmericaFrontccc.jpg
157,Donkey Kong Country Returns,donkey-kong-country-returns,6.53,,0.0,0.0,0.0,0.0,2010.0,/games/boxart/full_donkey-kong-country-returns_6AmericaFront.jpg
158,The Legend of Zelda,the-legend-of-zelda,6.51,,0.0,0.0,0.0,0.0,1987.0,/games/boxart/full_3817175AmericaFrontccc.jpg
159,Assassin's Creed III,assassins-creed-iii,0.0,6.5,20.65,14.56,0.31,3.83,2012.0,/games/boxart/full_7776699AmericaFrontccc.jpeg
160,Guild Wars,guild-wars,6.5,,0.0,0.0,0.0,0.0,2005.0,/games/boxart/7542120ccc.jpg
163,Final Fantasy XII,final-fantasy-xii,6.4,,0.0,0.0,0.0,0.0,2006.0,/games/boxart/full_5437540AmericaFrontccc.jpg
164,Tomodachi Life,tomodachi-life,6.4,,0.0,0.0,0.0,0.0,2014.0,/games/boxart/full_6316001AmericaFrontccc.png
165,Pokemon Crystal Version,pokemon-crystal-version,6.39,,0.0,0.55,0.0,0.05,2001.0,/games/boxart/2989621ccc.jpg
166,Halo 3: ODST,halo-3-odst,0.0,6.35,4.34,1.34,0.06,0.61,2009.0,/games/boxart/full_8199541AmericaFrontccc.jpg
168,FIFA 15,fifa-15,0.0,6.32,12.63,44.29,0.55,7.29,2014.0,/games/boxart/full_189344AmericaFrontccc.jpg
169,Kingdom Hearts,kingdom-hearts,6.3,,0.0,0.0,0.0,0.0,2002.0,/games/boxart/6663606ccc.jpg
170,Street Fighter II: The World Warrior,street-fighter-ii-the-world-warrior,6.3,,0.0,0.0,0.0,0.0,1992.0,/games/boxart/1247493ccc.jpg
