Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
4291,Tactics Ogre: Let Us Cling Together,tactics-ogre-let-us-cling-together,Role-Playing,T,PSP,Square Enix,Square Enix,,9.0,,,0.54,0.15,0.07,0.27,0.05,2011.0,,http://www.vgchartz.com/game/46283/tactics-ogre-let-us-cling-together/?region=All,1,,/games/boxart/full_tactics-ogre-let-us-cling-together_843AmericaFront.jpg
4292,Tales of Symphonia Chronicles,tales-of-symphonia-chronicles,Misc,T,PS3,Namco Bandai Games,Namco,,,,,0.54,0.21,0.13,0.13,0.07,2014.0,07th Apr 18,http://www.vgchartz.com/game/72166/tales-of-symphonia-chronicles/?region=All,1,,/games/boxart/full_5408505AmericaFrontccc.png
4293,Two Worlds II,two-worlds-ii,Role-Playing,M,X360,SouthPeak Interactive,Reality Pump,,6.5,,,0.54,0.4,0.07,0.03,0.04,2011.0,,http://www.vgchartz.com/game/41128/two-worlds-ii/?region=All,1,,/games/boxart/full_two-worlds-ii_839AmericaFront.jpg
4294,Bratz: Rock Angelz,bratz-rock-angelz,Misc,E,GBA,THQ,Blitz Games,,,,,0.54,0.39,0.14,,0.01,2005.0,,http://www.vgchartz.com/game/21928/bratz-rock-angelz/?region=All,1,,/games/boxart/2765010ccc.jpg
4295,NBA 2K18,nba-2k18,Sports,E10,PC,2K Sports,Visual Concepts,,7.0,,0.54,,,,,,2017.0,02nd Apr 18,http://www.vgchartz.com/game/174559/nba-2k18/?region=All,1,,/games/boxart/full_8081521AmericaFrontccc.jpg
4296,Golf It!,golf-it,Sports,,PC,Unknown,Perfuse Entertainment,,,,0.54,,,,,,2017.0,09th Feb 19,http://www.vgchartz.com/game/223455/golf-it/?region=All,1,,/games/boxart/full_3588429AmericaFrontccc.jpg
4297,50 Classic Games,50-classic-games,Misc,E,DS,Destineer,cerasus.media GmbH,,,,,0.54,0.5,,,0.04,2009.0,,http://www.vgchartz.com/game/35854/50-classic-games/?region=All,1,,/games/boxart/full_4058407AmericaFrontccc.jpg
4298,SSX Tricky,ssx-tricky,Sports,E,GC,EA Sports BIG,EA Canada,,8.4,,,0.54,0.42,0.11,,0.01,2001.0,,http://www.vgchartz.com/game/5757/ssx-tricky/?region=All,1,,/games/boxart/9925728ccc.jpg
4299,The Walking Dead: Survival Instinct,the-walking-dead-survival-instinct,Shooter,M,PS3,Activision,Terminal Reality,,,,,0.54,0.28,0.17,,0.09,2013.0,16th Jan 18,http://www.vgchartz.com/game/71380/the-walking-dead-survival-instinct/?region=All,1,,/games/boxart/full_4952833AmericaFrontccc.jpg
4300,Greg Hastings' Tournament Paintball,greg-hastings-tournament-paintball,Shooter,T,XB,Activision,WXP,,,,,0.54,0.46,0.06,,0.02,2004.0,,http://www.vgchartz.com/game/904/greg-hastings-tournament-paintball/?region=All,1,,/games/boxart/6609584ccc.jpg
4301,Harry Potter and the Deathly Hallows - Part 1,harry-potter-and-the-deathly-hallows-part-1,Action,T,Wii,Electronic Arts,EA Bright Light,,,,,0.54,0.22,0.27,,0.05,2010.0,,http://www.vgchartz.com/game/45484/harry-potter-and-the-deathly-hallows-part-1/?region=All,1,,/games/boxart/full_harry-potter-and-the-deathly-hallows-part-1_4AmericaFront.jpg
4302,Summer Sports: Paradise Island,summer-sports-paradise-island,Sports,E,Wii,Destineer,Digital Embryo,,,,,0.54,0.48,0.02,,0.04,2008.0,,http://www.vgchartz.com/game/19865/summer-sports-paradise-island/?region=All,1,,/games/boxart/660921ccc.jpg
