Name,Basename,Release Date,Age Rating,Single Player,Multi Player,Franchise
RollerCoaster Tycoon 3,rollercoaster-tycoon-3,25/10/2004,ESRB-E,1,0,
Halo: Reach,halo-reach,13/09/2010,ESRB-M,1,1,
Portal,portal,09/10/2007,ESRB-T,1,0,
Halo 4,halo-4,05/11/2012,ESRB-M,1,1,
Final Fantasy VII,final-fantasy-vii,30/01/1997,ESRB-T,1,0,Final Fantasy
Mario Kart 64,mario-kart-64,13/12/1996,ESRB-E,1,1,Mario Bros.
StarCraft,starcraft,30/03/1998,ESRB-T,1,1,
Super Smash Bros. for 3DS,super-smash-bros-for-3ds,00/00/2014,,,,
Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,04/11/2007,ESRB-M,1,1,
Gran Turismo 2,gran-turismo-2,10/12/1999,ESRB-E,1,1,
Wii Party,wii-party,07/07/2010,ESRB-E,1,1,
Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,00/00/2018,,,,
Mario Party DS,mario-party-ds,07/11/2007,,1,1,Mario Bros.
Donkey Kong Country,donkey-kong-country,20/11/1994,ESRB-E,1,1,
FIFA 19,fifa-19,27/09/2018,ESRB-E,1,1,
Rust,rust,07/02/2018,,0,1,
Marvel's Spider-Man,marvels-spider-man,06/09/2018,ESRB-T,1,0,
Half-Life 2,half-life-2,15/11/2004,ESRB-M,1,0,
The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,10/11/2011,ESRB-M,1,0,
Mario Party 8,mario-party-8,28/05/2007,ESRB-E,1,1,Mario Bros.
Super Mario Kart,super-mario-kart,26/08/1992,ESRB-E,1,1,Mario Bros.
Uncharted 4: A Thief's End,uncharted-4-a-thiefs-end,00/00/2016,,,,
Final Fantasy VIII,final-fantasy-viii,10/02/1999,ESRB-T,1,0,Final Fantasy
Final Fantasy X,final-fantasy-x,18/07/2001,ESRB-T,1,0,Final Fantasy
Pokemon Black 2 and White 2,pokemon-black-2-and-white-2,00/00/2012,,,,
Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,03/11/2016,ESRB-M,1,1,
Fallout 4,fallout-4,09/11/2015,ESRB-M,1,0,
Mario Kart 8,mario-kart-8,28/05/2014,PEGI-3,1,1,Mario Bros.
Tekken 3,tekken-3,21/03/1997,ESRB-T,1,1,
Pokemon: Ultra Sun and Ultra Moon,pokemon-ultra-sun-and-ultra-moon,00/00/2017,,,,
Splatoon 2,splatoon-2,20/07/2017,ESRB-E10,1,1,
FIFA 16,fifa-16,21/09/2015,PEGI-3,1,1,
GoldenEye 007,goldeneye-007,22/08/1997,ESRB-T,1,1,James Bond
Star Wars Battlefront (2015),star-wars-battlefront-2015,00/00/2015,,,,
FIFA 13,fifa-13,24/09/2012,ESRB-E,1,1,
Halo 2,halo-2,08/11/2004,ESRB-M,1,1,
The Sims 3,the-sims-3,01/06/2009,PEGI-12,1,1,
Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,24/10/2005,ESRB-M,1,1,
Pac-Man,pac-man,21/05/1980,ESRB-E,1,0,
Pokemon Platinum Version,pokemon-platinum-version,00/00/2009,,,,
The Legend of Zelda: Ocarina of Time,the-legend-of-zelda-ocarina-of-time,20/11/1998,PEGI-12,1,0,
Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,30/10/1997,ESRB-E,1,0,
Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,03/11/2014,ESRB-M,1,1,
Call of Duty: World at War,call-of-duty-world-at-war,10/11/2008,ESRB-M,1,1,
Super Mario Bros. 2,super-mario-bros-2,08/10/1988,ESRB-E,1,0,Mario Bros.
Super Mario Galaxy 2,super-mario-galaxy-2,22/05/2010,ESRB-E,1,1,Mario Bros.
Super Smash Bros. Melee,super-smash-bros-melee,20/11/2001,ESRB-T,1,1,
Battlefield 3,battlefield-3,24/10/2011,ESRB-M,1,1,
The Legend of Zelda: Twilight Princess,the-legend-of-zelda-twilight-princess,18/11/2006,ESRB-T,1,0,
Battlefield 1,battlefield-1,20/10/2016,ESRB-M,1,1,
Need for Speed: Underground,need-for-speed-underground,16/11/2003,ESRB-E,1,1,
The Binding of Isaac,the-binding-of-isaac,27/09/2011,,1,0,
Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,00/00/1998,,,,
Pokemon Emerald Version,pokemon-emerald-version,00/00/2005,,,,
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,yokai-watch-2-bony-spirits,00/00/2016,,,,
Need for Speed: Underground 2,need-for-speed-underground-2,08/11/2004,ESRB-E,1,1,
Just Dance 4,just-dance-4,01/10/2012,ESRB-E10,1,1,
Mario Kart: Double Dash!!,mario-kart-double-dash,06/11/2003,ESRB-E,1,1,Mario Bros.
Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,00/00/2011,,,,
Medal of Honor: Frontline,medal-of-honor-frontline,27/05/2002,ESRB-T,1,1,
Crash Bandicoot,crash-bandicoot,30/08/1996,ESRB-E,1,0,
Zumba Fitness,zumba-fitness,07/11/2010,ESRB-E,1,1,
Uncharted 2: Among Thieves,uncharted-2-among-thieves,12/10/2009,ESRB-T,1,1,
FIFA Soccer 12,fifa-soccer-12,00/00/2011,,,,
FIFA 14,fifa-14,16/09/2013,PEGI-3,1,1,
Red Dead Redemption,red-dead-redemption,17/05/2010,ESRB-M,1,1,
Donkey Kong Country Returns,donkey-kong-country-returns,20/11/2010,ESRB-E,1,1,
The Legend of Zelda,the-legend-of-zelda,20/02/1986,,1,0,
Assassin's Creed III,assassins-creed-iii,00/00/2012,,,,
Guild Wars,guild-wars,25/05/2005,ESRB-T,0,1,
