name,first_release_date,single_player,multi_player,age_ratings,franchise,game_modes
The Return of Medusa,1,0,30/12/1991,null,null,null
M.A.C.E. TD,null,null,null,null,null,null
Gear Up: Premium,0,1,null,null,null,null
The Key 1: Flight From Arcadia,null,null,null,null,null,null
MajiTen: Maji de Tenshi wo Tsukutte Mita,null,null,null,null,null,null
Miscrits: World of Creatures,null,null,null,null,null,null
Popcorn!,null,null,null,null,null,null
Growlanser IV: Wayfarer of Time Return,null,null,null,null,null,null
Denis Through the Drinking Glass,null,null,null,null,null,null
Nova Empire,null,null,null,null,null,null
AV Poker: World Gambler,null,null,31/01/1992,null,null,null
Digby Forever,null,null,null,null,null,null
Deathlands,1,1,02/11/2017,null,null,null
Molly Maggot,null,null,30/12/2015,null,null,null
Mariovania,1,0,24/08/2016,null,null,null
Trains VR,1,0,30/04/2018,null,null,null
Safari Hunt 2018,null,null,null,null,null,null
Asphyxia,1,0,03/08/2015,null,null,null
Repton Mania,null,null,null,null,null,null
Dino Master,null,null,null,null,null,null
Akagi: Yami ni Furitatta Tensai,null,null,null,null,null,null
Cluck Yegger in Escape From The Planet of The Poultroid,null,null,null,null,null,null
Mandrake Town,null,null,null,null,null,null
The Sad Story of Emmeline Burns,1,0,04/01/2016,null,null,null
Narborion by Night,null,null,null,null,null,null
Tectus,null,null,null,null,null,null
Criminal Girls X,1,0,null,null,null,null
Kidou Senshi Gundam Vol. 2 Jaburo,null,null,15/09/2001,null,null,null
My Story: Choose Your Own Path,null,null,15/01/2017,null,null,null
Mixed Estate,1,0,null,null,null,null
The Horus Heresy: Legions,1,1,25/07/2018,null,null,null
Angry Shark 2016,null,null,null,null,null,null
Nissan Presents Over Drivin' GT-R,null,null,19/01/1997,null,null,null
Agartha-S,null,null,null,null,null,null
Bumper.io,null,null,null,null,null,null
The Pack Rat,null,null,null,null,null,null
Baby Pals,1,0,18/11/2007,ESRB-E,null,null
Redshift Blueshift,1,1,22/09/2015,null,null,null
Eden Rising - Supremacy,1,1,16/05/2019,null,null,null
Devil Maker: Tokyo,null,null,null,null,null,null
Dunkers 2,null,null,26/09/2017,null,null,null
Fish Tycoon 2: Virtual Aquarium,1,0,null,null,null,null
PicaSim - Flight Simulator,null,null,null,null,null,null
New Baby Sister,null,null,null,null,null,null
StuntCopter!,null,null,null,null,null,null
myNotebook: Pearl,null,null,null,null,null,null
Add It!,null,null,null,null,null,null
Purgatory: Echoes From the Void,null,null,null,null,null,null
Street Racing 3D,null,null,null,null,null,null
Gekitou Burning Pro Wrestling,null,null,05/10/1995,null,null,null
Swinger,null,null,null,null,null,null
ICED VR,1,0,null,null,null,null
Sand Slides,null,null,null,null,null,null
Grievance,1,0,01/06/2020,null,null,null
Mad Rat Dead,1,0,29/10/2020,ESRB-T,null,null
SEGA AGES Shinobi,1,0,30/10/2019,ESRB-E10,null,null
Bille & Trille: Klæder sig ud,null,null,null,null,null,null
All Star Quarterback,null,null,null,null,null,null
Jet Set Willy: Online,null,null,null,null,null,null
R.I.P.,null,null,null,null,null,null
A-Train: City Simulator,null,null,null,null,null,null
Overchunked,1,0,11/04/2018,null,null,null
Nitro Royale -Heroines Duel-,null,null,null,null,null,null
Hello Benny - Horror Machine,null,null,null,null,null,null
The Island Story,1,0,04/06/2020,null,null,null
Prototype X1,1,0,05/11/2016,ESRB-E10,null,null
Sir Ababol,null,null,31/12/2013,null,null,null
Bomber Warrior,null,null,null,null,null,null
Slinky,null,null,null,null,null,null
Plasma Warrior,null,null,null,null,null,null
The Angry Viking,null,null,11/11/2015,PEGI-12,null,null
Zeebo F.C. Foot Camp,null,null,null,null,null,null
Bebylon Battle Royale,null,null,null,null,null,null
Zombie Raiders Beta,null,null,null,null,null,null
Angry Granny 2-Angry Neighbor,null,null,null,null,null,null
Get That Thief Runner,1,0,01/02/2017,ESRB-E,null,null
HexLogic - Quilts,null,null,null,null,null,null
musika,null,null,null,null,null,null
Gloop Deluxe,null,null,null,null,null,null
Dr.Tool Lern Coach für Kinder,null,null,null,null,null,null
Learning Fun II,null,null,07/08/1987,null,null,null
The Beast,null,null,null,null,null,null
Double Dragon III: The Arcade Game,null,null,null,ESRB-RP,null,null
Robot Rumble 2,1,1,null,null,null,null
Devil May Cry 2 - Limited Edition,1,0,24/02/2003,null,null,null
HB2 PLUS,null,null,null,null,null,null
Barricade,0,1,30/12/1976,null,null,null
Lozenge,1,0,null,null,null,null
Xtreme Paddleball,1,0,null,null,null,null
Avadon 3,null,null,null,null,null,null
Tweet Star,null,null,null,null,null,null
Phantom Doctrine: Deluxe Edition,null,null,null,null,null,null
Wayward Tide,null,null,null,null,null,null
Battleship,null,null,30/12/1991,null,null,null
Алфавит Гонки за потерянными буквами (Без Рекламы),null,null,null,null,null,null
Hoshizora Navi,null,null,null,null,null,null
Office Race,1,1,null,null,null,null
Dizzy: Amstrad Action Special Edition,null,null,null,null,null,null
Oxyd Extra,null,null,null,null,null,null
Burn It All!,null,null,null,null,null,null
Your Home,1,0,null,null,null,null
Skelly Selest,1,0,30/04/2018,null,null,null
Sliding-Block Puzzles,null,null,null,null,null,null
BuzzingCars,null,null,null,null,null,null
Sinjid: Battle Arena,1,0,29/08/2003,null,null,null
Piggy Pile!,null,null,null,null,null,null
Nettou! Powerful Koushien,null,null,null,null,null,null
Magic Solitaire,null,null,null,null,null,null
Cats Can Change Color - Infinite Jump,null,null,null,null,null,null
Havana Piano Tiles 🎹,null,null,null,null,null,null
F.I.S.T.: Forged In Shadow Torch,1,0,29/06/2021,null,null,null
K. Hawk: Survival Instinct,null,null,null,null,null,null
Home Design Makeover!,null,null,null,ESRB-E,null,null
Baseball Mogul 2003,null,null,null,null,null,null
Roadwars,null,null,null,null,null,null
V: The Computer Game,null,null,null,null,null,null
Chibi Maruko-Chan: Go Chounai Minna de Game Dayo!,null,null,null,null,null,null
Meine Tierschule,null,null,null,null,null,null
Net Cribbage,null,null,null,null,null,null
Pillars of Eternity II: Deadfire - The Forgotten Sanctum,null,null,null,null,null,null
"Gisobo, Choukyou Chuu. Nakayoshi no Hiketsu wa SM desu.",null,null,null,null,null,null
Angelique Tenku no Requiem,1,0,01/04/1998,null,null,null
Bubble Shootix,null,null,null,null,null,null
RotaPicture,null,null,null,null,null,null
Abacus HD,null,null,null,null,null,null
Peachy,null,null,null,null,null,null
Heavy Metal Tennis Training,null,null,null,null,null,null
Pearl6,null,null,null,null,null,null
Tank Battle: Pacific,1,0,02/08/2017,null,null,null
妈妈，别走,1,0,28/10/2019,null,null,null
Cho Ren Sha 68K,1,0,30/12/1995,null,null,null
Giga Wrecker Alt. Collector's Edition,null,null,null,null,null,null
Last Stand,1,0,26/04/1999,null,null,null
The Hobbit Pinball,null,null,null,null,null,null
Zworx,null,null,null,null,null,null
NFL Blitz 2000 Gold Edition,null,null,10/01/2000,null,null,null
Euchre,null,null,04/05/2005,null,null,null
GNOME 2048,null,null,null,null,null,null
Dactyl,null,null,null,null,null,null
Azusa RP Online,0,1,29/01/2019,null,null,null
Arabian Stones - The VR Sudoku Game,1,0,null,null,null,null
Actua Soccer,1,1,30/12/1996,null,null,null
Drive Ahead!,1,1,13/05/2015,null,null,null
Disjoint,1,0,null,null,null,null
Saloon VR,1,0,null,null,null,null
Time Zone Pinball,null,null,null,null,null,null
Frat Party Games: Pong Toss,null,null,27/07/2008,null,null,null
High School Escape 2,null,null,null,null,null,null
Dead Climb,1,0,null,null,null,null
Progress Quest,null,null,null,null,null,null
Cannon Flight,null,null,null,null,null,null
Buddy Bash,0,1,29/04/2020,null,null,null
Rockets,null,null,null,null,null,null
Audio Trip,1,0,null,null,null,null
Nexomon,1,0,09/08/2017,null,null,null
Geometry Dash SubZero,null,null,20/12/2017,ESRB-E,null,null
INDEF,1,0,30/12/2018,null,null,null
Rising Lords,1,1,26/05/2020,null,null,null
Chessmaster 3D,null,null,null,null,null,null
Protect Grass,1,0,null,null,null,null
AquaNox 2: Revelation,1,0,18/08/2003,PEGI-12,null,null
Groupthink,null,null,null,null,null,null
Rooms: The Adventure of Anne & George,null,null,null,null,null,null
Just Cause 4: Reloaded,null,null,null,null,null,null
Lume & The Shifting Void,1,0,null,null,null,null
Gravity Wars: Black Hole,1,0,null,null,null,null
X4: Split Vendetta,1,0,30/03/2020,null,null,null
Nancy Drew: The Deadly Secret of Olde World Park,null,null,17/10/2007,ESRB-E,null,null
DEFENDER 3D,1,0,22/10/2018,null,null,null
Air Force Gear,1,0,24/12/2017,PEGI-3,null,null
Flappy Blue Bird,null,null,null,null,null,null
Stickman in the portal,1,0,null,null,null,null
Achievement Clicker 2020,1,0,null,null,null,null
The Time Warp of Dr. Brain,null,null,null,null,null,null
Dokapon the World,null,null,02/11/2004,null,null,null
Ready Contest,null,null,null,null,null,null
Face Wound,null,null,null,null,null,null
Yukyu Gensokyoku: Perpetual Collection,null,null,null,null,null,null
Johnny 7,null,null,null,null,null,null
PapiPole,null,null,null,null,null,null
Grand Lizard,null,null,null,null,null,null
Spot the Differences: Party!,null,null,04/09/2013,null,null,null
SpaceShipVSBricks,null,null,null,null,null,null
Speedway/Tag,null,null,null,null,null,null
Hip Hop Fame And Millions,null,null,null,null,null,null
Knight's Quest,1,0,05/05/2019,ESRB-E,null,null
Medarot R Parts Collection,null,null,null,null,null,null
BoBoiBoy: Adudu Attacks!,null,null,null,null,null,null
Booking Revolution HD,null,null,null,null,null,null
Dora the Explorer: Dance to the Rescue,null,null,null,null,null,null
To Hell with Hell,1,0,24/02/2020,null,null,null
Dear Toki,null,null,null,null,null,null
World of Tanks Generals,null,null,25/11/2015,null,null,null
Ludo Ultimate Online Dice Game,null,null,null,null,null,null
Monty Python's Invasion from the Planet Skyron,null,null,31/01/1995,null,null,null
Moraff's Stones,null,null,null,null,null,null
Gachasute! Dino Device - Red,null,null,05/08/2002,null,null,null
Paper Toss,null,null,05/04/2009,null,null,null
Ronja Rövardotter,null,null,null,null,null,null
Lost Souls: Enchanted Paintings,1,0,11/11/2011,null,null,null
Car Escape,null,null,null,null,null,null
chumbo.zone,1,0,31/03/2020,null,null,null
Chrono Quest II,1,0,30/12/1989,null,null,null
City Rain,null,null,null,null,null,null
Invasion: Battlefield,null,null,null,null,null,null
Atomic Hangman,null,null,null,null,null,null
Monopolee,null,null,null,null,null,null
Garbage Truck Simulator,null,null,null,null,null,null
The Wit.nes,null,null,null,null,null,null
Bouncy Toys,null,null,null,null,null,null
Trucksform3d Offroad 3D Shooting Bigfoot Endless Racing Truck,null,null,null,null,null,null
Boots Story - games for kids,null,null,null,null,null,null
Demons Ring,null,null,null,null,null,null
Space Station Oblivion,null,null,null,null,null,null
Narrow Escape,null,null,31/01/1983,null,null,null
Dungeon Princess,null,null,null,null,null,null
Inflamous,null,null,null,null,null,null
Dinomaster Party,null,null,null,null,null,null
TANKS,1,1,null,null,null,null
Dearth,null,null,null,null,null,null
Ms. Pac-Man: Maze Madness/Pac-Man World,null,null,null,null,null,null
Ray Bradbury's The Martian Chronicles Adventure Game,null,null,null,null,null,null
Cheesy,null,null,null,null,null,null
Piranha,null,null,null,null,null,null
beatmania IIDX 6th style,null,null,17/07/2001,null,null,null
Ju Ju Densetsu,null,null,07/01/1990,null,null,null
Infinite Gateway,1,0,04/10/2017,null,null,null
"Sarah, you are way too heavy",1,0,null,null,null,null
PSFootball,null,null,null,null,null,null
The Spy's Adventures in South America,1,0,30/12/1987,null,null,null
Royal Blade,null,null,null,null,null,null
CyberMedic Simulator,null,null,null,null,null,null
Drifty Drive,null,null,null,null,null,null
Juno Markev,null,null,null,null,null,null
TrapAdventure 2,null,null,null,null,null,null
Disc Golf Game,null,null,null,null,null,null
Murder on the Suburbia 2,null,null,null,null,null,null
Pachinko Kamen Rider,null,null,null,null,null,null
Screen VR,1,0,null,null,null,null
放置江湖：隐世门派现武林,null,null,null,null,null,null
Tank Team,null,null,null,null,null,null
Metal Max: Fireworks,null,null,07/10/2015,null,null,null
Tiny Dragons,1,0,14/02/2018,PEGI-3,null,null
Graveyard Defender,1,0,null,null,null,null
Crossword Puzzle - Redstone,null,null,null,null,null,null
Darkheart: Flight of the Harpies,1,0,null,null,null,null
HyperStorm,1,0,03/10/2019,null,null,null
Castle Miner Z,null,null,null,null,null,null
Nicktoons MLB,1,1,12/09/2011,ESRB-E,"{'id': 99, 'name': 'Nicktoons'}",null
Retro Golf! Arcade Putt Putt Game,null,null,null,null,null,null
Monster Trainer,null,null,null,null,null,null
Construct 2,null,null,null,null,null,null
Maximum Racing: Super Karts,null,null,20/07/2011,null,null,null
Tic Tac Toe,null,null,null,null,null,null
Puzzles By Axis,1,0,null,null,null,null
Painkiller Universe,null,null,null,null,null,null
Schoolmates from Present to Past,null,null,null,null,null,null
Gex 3: Deep Cover Gecko,1,0,22/03/1999,ESRB-T,null,null
The Blue and the Grey,null,null,null,null,null,null
Dynasty of Egypt,null,null,null,null,null,null
Hidden Objects - World Traveler,null,null,null,null,null,null
TriO: The Great Settlement,null,null,null,null,null,null
Top Gun DS,null,null,null,null,null,null
Riddle Stones,null,null,null,null,null,null
A Pilferer Lily's Naked Stealth Journey,null,null,null,null,null,null
DungeonMaze,null,null,null,null,null,null
Mathfacts-Subractionflashcards,null,null,null,null,null,null
Kawaii Koneko 3D,null,null,null,null,null,null
IncrediMarble,1,0,07/10/2020,null,null,null
Orion Sandbox Enhanced,1,0,null,null,null,null
Psikyo Collection Vol. 2,null,null,null,null,null,null
Kid's Kards,null,null,null,null,null,null
Instant Dungeon!,1,0,24/11/2014,null,null,null
Doguu Senki: Haou,null,null,null,null,null,null
San Francisco,null,null,null,null,null,null
Maji de Watashi ni Koishinasai! A-3,null,null,null,null,null,null
Automonopoli,null,null,null,null,null,null
Burning Monkey Solitaire,null,null,null,null,null,null
Pie Die: Pewdiepie Edition,null,null,null,null,null,null
Who Is The Killer (Episode III),null,null,null,null,null,null
Charm Fish - Fish Mania,null,null,null,null,null,null
Der flinke Architekt,null,null,null,null,null,null
Arabian Nights: Sabaku no Seirei-ō,1,0,13/06/1996,null,null,null
Shadow of the Tomb Raider: The Grand Caiman,1,1,28/03/2019,ESRB-M,null,null
Dragon Banner,1,0,07/05/2020,null,null,null
Bear Vs Hunter,1,1,null,null,null,null
Police Chase Crime: Racing Car,null,null,null,null,null,null
Maji de Watashi ni Koishinasai! A-4,null,null,null,null,null,null
Beach Bike Water: Challenge Ra,null,null,null,null,null,null
Highway Patrol II,null,null,30/12/1989,null,null,null
Castles & Krakens,null,null,null,null,null,null
D is for Drift,null,null,null,null,null,null
Simple 1500 Series Vol. 88: The Gal Mahjong,null,null,null,null,null,null
Hero Hours Contract,1,0,25/08/2020,null,null,null
FLO Game,null,null,12/02/2018,null,null,null
Active Crowds,1,0,null,null,null,null
Machinegun Geometry: The Right Angle,null,null,null,null,null,null
ANti: Virus Destroyer,1,0,null,null,null,null
BrickShooter,null,null,null,null,null,null
The Essential Selection: Sport,null,null,null,null,null,null
Paper Dolls Original,1,0,18/04/2019,null,null,null
Toraware no Palm: Refrain - Deluxe Edition,null,null,null,null,null,null
Pop the Balloons,null,null,null,null,null,null
Punchhead,null,null,null,null,null,null
Forest of Evil,1,0,null,null,null,null
MEFB,null,null,null,null,null,null
ChessFriends.com,null,null,null,null,null,null
Rider,null,null,null,null,null,null
Concentration,null,null,null,null,null,null
Bakery,1,0,21/11/2017,null,null,null
Kahuna,null,null,null,null,null,null
Destiny of Altrais,1,0,null,null,null,null
Serum X,null,null,null,null,null,null
Nikoli no Puzzle V: Masyu,null,null,null,null,null,null
Linkage,1,0,null,null,null,null
Stylish eSper Shooting Sports League,null,null,null,null,null,null
Maze Master,null,null,null,null,null,null
Pokémon Black,1,1,17/09/2010,null,null,null
Miyuki the Shoubushi,null,null,null,null,null,null
Ayni Fairyland,1,0,null,null,null,null
The Seashore,null,null,null,null,null,null
Galactic War,null,null,null,null,null,null
Farocar,null,null,null,null,null,null
Triangulum,1,0,null,null,null,null
Secrets of the Dragon Wheel,null,null,null,null,null,null
NTR!? NTRed!? Trendy Slut's One Million Yen Repaying Project!,null,null,null,null,null,null
Voxel Tank VR,1,0,22/10/2017,null,null,null
ASH OF WAR,1,0,null,null,null,null
Tamed Faces Jigsaw Puzzle - Domesticated Animals,null,null,null,null,null,null
Dairoku: Ayakashimori,null,null,null,null,null,null
Othello³,null,null,null,null,null,null
Retribution,null,null,null,null,null,null
If only I could go home early,null,null,null,null,null,null
Pachinko Sexy Reaction 2,null,null,null,null,null,null
Counter Terrorist Shooting Critical Shoot Attack,null,null,null,null,null,null
World of Wimmelbild,null,null,null,null,null,null
Prizm,null,null,null,null,null,null
Cat Runner 2018,null,null,null,null,null,null
Hurrican,null,null,null,null,null,null
Macross Plus,null,null,null,null,null,null
Welcome to Primrose Lake,1,0,07/08/2019,null,null,null
SEGA AGES COLUMNS II: THE VOYAGE THROUGH TIME,1,1,07/08/2019,ESRB-E,null,null
副作用之瞳 (Tilcolity Eyes),1,0,null,null,null,null
Shoot The Apple 2018,null,null,null,null,null,null
All Systems Operational,1,1,null,null,null,null
Divine Business: Fantasy Trading Simulator,1,0,null,null,null,null
Stickman Jetpack,1,0,null,null,null,null
Chalkboard Sports Baseball,null,null,null,null,null,null
Black Shark - Flight Sim,null,null,null,null,null,null
Bubbles Reward 3,null,null,null,null,null,null
C64 & AMIGA Classix Remakes Sixpack 3,1,0,null,null,null,null
Draw a Stickman: EPIC HD,null,null,24/10/2012,null,null,null
Holiday Jigsaw. Easter 3,null,null,null,null,null,null
Histology Quiz Game,null,null,null,null,null,null
Tie Break,null,null,null,null,null,null
Laxius Force,null,null,07/09/2013,null,null,null
Mysteria ~Occult Shadows~,1,0,null,null,null,null
Voyagers,1,0,23/11/2019,null,null,null
Xtreme Slots,null,null,19/12/2017,null,null,null
Welcome to Quiet Haven,null,null,null,null,null,null
Virtual Warfighter,0,1,01/09/2016,null,null,null
Drug Wars: A Game Based on the New York Drug Market,null,null,null,null,null,null
The Challengers,null,null,null,null,null,null
Special Forces Pack,null,null,null,null,null,null
Spades,null,null,null,null,null,null
Crown of Arthain,1,1,31/07/1980,null,null,null
Real Soccer 2007,1,0,30/12/2007,null,null,null
Togo Dave,null,null,null,null,null,null
Fierce Tales: Feline Sight - Collector's Edition,1,0,null,null,null,null
The Steadfast VR Challenge,1,0,null,null,null,null
Puppet Master RPG,null,null,null,null,null,null
Farm Up,null,null,null,null,null,null
Chromosome Evil,1,0,null,null,null,null
Raging Thunder,null,null,null,null,null,null
Star Traders RPG,null,null,null,null,null,null
Battle Arena Toshinden,1,1,31/08/1995,null,null,null
Dark Cloud 3,1,1,null,ESRB-T,null,null
SimCity Societies: Destinations,1,0,22/06/2008,ESRB-E,null,null
Stranger Cases,null,null,null,null,null,null
4-in-1 IQ Scale Bundle,1,0,null,null,null,null
Evolve,1,1,08/02/2015,ESRB-M,null,null
Neoteria,null,null,null,null,null,null
Moraff's Entrap,null,null,null,null,null,null
Cookie Wars,null,null,null,null,null,null
National Girls,1,0,null,null,null,null
Date A Live: Arusu Install - Limited Edition,1,0,25/06/2014,null,null,null
Serious Sam Double D XXL,1,1,29/08/2011,ESRB-M,null,null
Gundam VR: Daiba Assault,1,0,13/07/2017,null,null,null
Auto Battle,0,1,14/12/2014,PEGI-12,null,null
Speaking Simulator,1,1,29/01/2020,null,null,null
PicRoad - Pixel art puzzle,null,null,null,null,null,null
Crazy Trucker,null,null,null,null,null,null
One-Dot Enemies,null,null,null,null,null,null
Labyrinths of the World: Changing the Past HD,null,null,null,null,null,null
Shiny Days,1,0,26/04/2012,null,null,null
Suzuki Bakuhatsu,null,null,05/07/2000,null,null,null
UPgrade,null,null,null,null,null,null
Shield Impact,1,1,null,null,null,null
The Sims Pool,null,null,null,null,null,null
Me & My Furry Patients 3D,null,null,23/04/2014,null,null,null
Unlimited Escape 3 & 4 Double Pack,1,0,20/05/2015,null,null,null
Kickboxing,null,null,null,null,null,null
Kosmo & Klax: Treehouse-Party,null,null,null,null,null,null
Pixel Puzzles 2: Paintings,1,0,null,null,null,null
Flamebreak,1,0,15/10/2015,null,null,null
Content Creator Simulator,1,0,null,null,null,null
BVOVB: Bruising Vengeance of the Vintage Boxer,1,0,16/06/2017,null,null,null
4X-Galaxy,0,1,20/12/2018,null,null,null
Map Snap,null,null,null,null,null,null
Tap Tap West,null,null,null,null,null,null
Parkour Simulator,1,0,null,null,null,null
Addition,null,null,null,null,null,null
Would you rather?!,null,null,null,null,null,null
Battle of Words,null,null,null,null,null,null
"Space, VR!",1,0,01/03/2017,null,null,null
Internal Trouble,null,null,null,null,null,null
N-Sub,1,1,30/12/1980,null,null,null
Planet Diver,1,0,30/11/2015,null,null,null
Solar Winds: Galaxy,null,null,null,null,null,null
Monster Girl Prom,null,null,null,null,null,null
European 2,null,null,null,null,null,null
SUSPENSE,1,0,null,null,null,null
God Eater 2: Famitsu DX Pack,null,null,null,null,null,null
Super Tetris,null,null,24/03/1988,null,null,null
Super Seducer 2,1,0,11/09/2018,null,null,null
Jammy Road,null,null,null,null,null,null
Heiwa Parlor! Pro: Dolphin Ring Special,null,null,null,null,null,null
Old Man's Guilt,null,null,null,null,null,null
Ys DS,null,null,null,null,null,null
Farm Frenzy 3 HD,null,null,null,null,null,null
Covid '99,0,1,14/10/2020,null,null,null
A Dark and Stormy Entry,null,null,null,null,null,null
Project L,null,null,null,null,null,null
Silicon Dreams - Return to Eden,null,null,null,null,null,null
Ultimate Royal Battlegrounds,null,null,null,null,null,null
Komugi-Chan no Happy Cake,null,null,21/12/2002,null,null,null
FlatOut 4: Total Insanity Workshop Tools,null,null,null,null,null,null
Trailer Park King,1,0,28/07/2011,null,null,null
Chrono Trigger: Jet Bike Special,null,null,30/08/1995,null,null,null
Ultimate Pac Pack,null,null,null,null,null,null
SpaceShot,1,0,null,null,null,null
Beyond the Sunset 斜阳下的彼岸,1,0,10/10/2017,null,null,null
Peace of Evil,1,0,null,null,null,null
Toon Off,null,null,null,null,null,null
Pier57 Autocracy,null,null,null,null,null,null
Akurra,null,null,null,null,null,null
Rocket Assault,1,0,null,null,null,null
Project Waves,null,null,null,null,null,null
JoonGo Playground,null,null,null,null,null,null
Kamen Rider: Climax Heroes W,null,null,02/01/2010,null,null,null
ROAD HOMEWARD: Open world,1,0,null,null,null,null
Pathfinder: Kingmaker - Explorer Edition,null,null,null,null,null,null
Heartbreak High: A Break-Up Simulator,1,0,20/05/2018,null,null,null
Sledgehammer / Gear Grinder,1,1,11/03/2014,null,null,null
Operation: Cheek Clapper,1,0,null,null,null,null
Mobile Suit Gundam: Advanced Operation,null,null,null,null,null,null
Sky Base,null,null,31/05/1982,null,null,null
Road & Track Presents: The Need for Speed,null,null,27/07/1996,null,null,null
Forge of Neon 3D,null,null,null,null,null,null
Meremanoid,1,0,30/12/1999,null,null,null
Scenery Disk 1,null,null,null,null,null,null
Double Eagle: Tricky Hole,null,null,null,null,null,null
Smart Games Challenge #1,null,null,null,null,null,null
Defcon 5,1,0,30/12/1995,null,null,null
《古斯塔奥：帝国重生》Gustavo Kingdom Rebirth,1,0,null,null,null,null
Equilibrio,1,0,05/04/2009,ESRB-E,null,null
TimeOut,1,0,07/05/2020,null,null,null
Tank Trax,null,null,null,null,null,null
Dead Alliance: Multiplayer Edition,null,null,null,null,null,null
Alchemelee,0,1,12/01/2020,null,null,null
CHAOS Combat Copters HD,null,null,null,null,null,null
Diversion,null,null,null,null,null,null
Robo Puzzle Smash,1,1,null,null,null,null
Inner Mazes: Souls Guides,1,0,01/11/2017,null,null,null
Korpus: Buried over the Black Soil,1,0,13/02/2020,null,null,null
Cubie Adventure,null,null,null,null,null,null
Action Service,1,1,30/12/1988,null,null,null
Breakneck,1,0,31/01/2016,null,null,null
Ore no Kanojo ga Gachi Hentai Sugiru,null,null,null,null,null,null
Coconuts versus Bananas: The Invasion of Carl CocoPalm,null,null,null,null,null,null
Moshpit - Heavy Metal is War,null,null,null,null,null,null
Cooking Game - Valentines Day Menu,null,null,null,null,null,null
Commanders of Valor,1,1,null,null,null,null
Toyota Celica GT Rally,1,0,30/12/1990,null,null,null
Zombie school-丧尸学院,1,0,null,null,null,null
Romance of the Three Kingdoms II,1,0,01/11/1990,null,"{'id': 126, 'name': 'Romance Of The Three Kingdoms'}",null
SuperBeam,1,0,null,null,null,null
Choice or Fate,1,0,09/01/2019,null,null,null
BotHeads 2,null,null,null,null,null,null
Oooku,null,null,null,null,null,null
Warsong,1,0,25/04/1991,null,null,null
Tax Dodge,null,null,null,null,null,null
Petit: Puchi,null,null,null,null,null,null
NCAA College Basketball 2K3,1,1,10/12/2002,ESRB-E,"{'id': 222, 'name': 'NCAA'}",null
Air Raid,1,0,30/12/1982,null,null,null
Pokémon Cyan,1,0,01/02/2012,null,null,null
Saya: Immoral Labyrinth,null,null,null,null,null,null
Magic Ball Deluxe,null,null,null,null,null,null
Knight King Assassin,1,0,null,null,null,null
Dezaemon Kids!,null,null,null,null,null,null
Fancy Skiing 2: Online,1,1,null,null,null,null
Project 83113,null,null,null,null,null,null
In Memoriam,null,null,null,null,null,null
In the House of Silence,1,0,14/10/2020,null,null,null
Age of Storm: Kingdom Under Fire Online,null,null,null,null,null,null
Zombie Shooting King,null,null,null,null,null,null
Famicom Tantei Club: Kieta Koukeisha,1,0,30/12/2020,null,null,null
Seinarukana Special Fan Disc,null,null,null,null,null,null
Old Chicago,null,null,null,null,null,null
Crush Beats: Club Candy,null,null,null,null,null,null
Chromatic Fantasia EX,null,null,null,null,null,null
Merciless Podium,1,0,30/12/2017,null,null,null
Purrfect Spirits,null,null,null,null,null,null
Microsoft Entertainment Pack 2,null,null,null,null,null,null
Ben 10 Slammers,null,null,21/08/2013,null,null,null
More Buffet!,null,null,null,null,null,null
Mafia.gg,null,null,null,null,null,null
Pen Run,null,null,null,null,null,null
PooSky,1,0,10/10/2017,null,null,null
Aerial Antics,null,null,null,null,null,null
Guroopia!,1,0,null,null,null,null
Crystal Stacker,null,null,null,null,null,null
21-en,null,null,null,null,null,null
Dot.,null,null,null,null,null,null
Car Merger,null,null,08/12/2017,null,null,null
Benji Challenges,1,0,23/03/2016,null,null,null
Morashiya,null,null,null,null,null,null
PixPaint - Color By Number,null,null,null,null,null,null
Bugdom 2,null,null,null,null,null,null
Zombie Redbox,null,null,null,null,null,null
Struckd - 3D Game Creator,1,1,null,null,null,null
ACA NEOGEO AERO FIGHTERS 3,1,1,14/03/2018,ESRB-T,null,null
Number Islands,1,0,null,null,null,null
Buildings Have Feelings Too!,1,0,30/12/2020,null,null,null
Amsilvania Castle,null,null,null,null,null,null
2100,1,0,null,null,null,null
Hidden Object - Tools,1,0,25/09/2017,null,null,null
Thunder Force: Gold Pack 1,null,null,null,null,null,null
Pirates vs Corsairs: Davy Jones's Gold,1,1,15/03/2015,null,null,null
Despotism 3k,1,0,08/11/2018,null,null,null
Adventure Playground,null,null,null,null,null,null
Pinball Frenzy 3D,null,null,null,null,null,null
Toaru Kagaku no Railgun,1,0,22/11/2011,null,null,null
Milk and Cookies,null,null,null,null,null,null
"N?na, Ha?e F?aith",null,null,14/03/2011,null,null,null
Soul Wars,null,null,null,null,null,null
8bit Arena,0,1,19/03/2019,null,null,null
I Spy With Lola HD: A Fun Word Game for Kids!,null,null,null,null,null,null
Idol Janshi o Tsukucchaou,null,null,null,null,null,null
PokéPark Fishing Rally DS,null,null,null,null,null,null
Forgotten Realms: The Archives - Collection Two,null,null,null,null,null,null
West Legends,null,null,null,null,null,null
Super Slapshot,1,0,31/01/1993,null,null,null
Hobo Soccer,null,null,null,null,null,null
Subliminal Realms: The Masterpiece HD,null,null,null,null,null,null
Open Wheel Manager,1,0,null,null,null,null
!WOW!,null,null,null,null,null,null
Colony Assault,1,0,14/12/2015,null,null,null
