name,first_release_date,single_player,multi_player,age_ratings,franchise,game_modes
Duck Bow Hunt,null,null,null,null,null,null
我的妖狐妹妹,null,1,0,null,null,null
Jingle Cats,15/07/1998,null,null,null,null,null
Bloons TD 5 HD,30/11/2012,null,null,null,null,null
THE E BALL,null,1,0,null,null,null
Line Simulator 2020,null,null,null,null,null,null
Yo-kai Watch World,null,null,null,null,null,null
Anime Dress Up,null,1,0,null,null,null
Spy Hunter / Super Sprint,null,null,null,null,null,null
DinoSaur Ice Survival Craft,null,null,null,null,null,null
Zeroptian Invasion,27/11/2018,1,0,null,null,null
iLudo,null,null,null,null,null,null
Mittelerde: Mordors Schatten,01/10/2014,null,null,null,null,null
Low Poly Forces,null,null,null,null,null,null
Hospital Hustle,null,null,null,null,null,null
What's Michael?,null,null,null,null,null,null
Hexaverse,null,0,1,null,null,null
Escape From The Cosmic Abyss,null,null,null,null,null,null
Ore ga Omae o Mamoru,null,null,null,null,null,null
Now with Sprinkles,null,null,null,null,null,null
I Don't Want To Die,null,null,null,null,null,null
Slaves of Rome,null,null,null,null,null,null
Tôtem,03/09/2019,1,0,null,null,null
Walk With Me,04/05/2017,1,0,null,null,null
ALVAROK,31/10/2017,1,1,null,null,null
Hitman 2: Silent Assassin HD,29/01/2013,null,null,null,null,null
Legend of the 9 Swords: Side Story,null,1,0,null,null,null
The Demon Rush,null,null,null,null,null,null
Pirates Of The Caribbean: Isles Of War,null,null,null,null,null,null
Daneta3,null,null,null,null,null,null
Final Drive: Nitro,null,null,null,null,null,null
Geometry Defense: Infinite,null,1,0,null,null,null
Avatar Onslaught 2,null,null,null,null,null,null
Terwilliger,null,null,null,null,null,null
Word Maker,30/12/1982,1,0,null,null,null
Gryzor,31/01/1987,null,null,null,null,null
Fireman Titan Fights Games,null,null,null,null,null,null
Petz Catz Clan,null,null,null,null,null,null
Car Parking Simulator 3D Game,null,null,null,null,null,null
Dharma Doujou,null,null,null,null,null,null
Morph Chess 3D,null,null,null,null,null,null
Premier Collection III,null,null,null,null,null,null
The Orphan Dreams,26/04/2016,1,0,null,null,null
Reckless Getaway,null,null,null,null,null,null
Falcon 3.0,null,null,null,null,null,null
Brave Blob,null,null,null,null,null,null
Flipped On,null,1,0,null,null,null
Ghost Vibration,03/08/2002,null,null,null,null,null
Dance On,null,null,null,null,null,null
Hellmut: The Badass from Hell,26/02/2018,1,0,null,null,null
Dragon Atlas,null,null,null,null,null,null
Industry Giant 2 HD,null,null,null,null,null,null
Ugandan Knuckles Simulator. Meme Salvation 3D,null,null,null,null,null,null
Fancy Skiing: Speed,null,1,0,null,null,null
疑犯寻踪 In Pursuit,null,1,0,null,null,null
Carriers at War,null,null,null,null,null,null
The Emperor's New Groove,30/12/2000,1,1,ESRB-E,null,null
Zombie Crisis: Survival,null,null,null,null,null,null
Tail to Nose: Great Championship,null,null,null,null,null,null
Eldorado Gate Volume 6,07/08/2001,null,null,null,null,null
Farming Simulator,03/09/2013,1,0,null,null,null
Star Trek: Shattered Universe,12/01/2004,1,0,ESRB-E,"{'id': 18, 'name': 'Star Trek'}",null
Space Station Continuum,23/06/2020,1,0,null,null,null
Spell Casting,null,null,null,null,null,null
Pro Gamer Manager,27/04/2016,1,0,null,null,null
Rocket Swords,null,1,0,null,null,null
3D Stunt Rider,null,null,null,null,null,null
Grimblood,null,null,null,null,null,null
Neighbor,null,null,null,ESRB-M,null,null
Swamp Monsters,null,null,null,null,null,null
Cubistry,10/01/2013,null,null,null,null,null
Lix,null,null,null,null,null,null
Death in the Caribbean,30/12/1983,1,0,null,null,null
Night Raid,30/12/1992,1,0,null,null,null
Street Legal Racing: Redline,17/07/2003,1,0,null,null,null
Mochi Making Mischief,null,null,null,null,null,null
Royals,29/04/2015,null,null,null,null,null
Game Machines: Arcade Casino,16/10/2017,1,0,null,null,null
The Kite,31/12/2011,1,0,null,null,null
Happy Vikings,null,null,null,null,null,null
Hello Racoon Neighbor,null,null,null,null,null,null
Simon the Sorcerer 6: Between Worlds,null,null,null,null,null,null
Dark Tales: Edgar Allan Poe's Murders in the Rue Morgue,30/12/2010,1,0,null,null,null
Picross for a Cause,05/09/2020,1,0,null,null,null
Tank Ace,null,null,null,null,null,null
Adagio,null,1,0,null,null,null
Knights of the Chalice,null,1,0,null,null,null
Deer Hunter 2016,null,null,null,null,null,null
Q,25/06/2015,null,null,null,null,null
Stellar Attack,null,null,null,null,null,null
Mind Games,null,null,null,null,null,null
Idle Wizard,24/01/2019,1,0,null,null,null
RollocoBall,21/12/2016,1,0,PEGI-3,null,null
Late City Riders,null,1,0,null,null,null
Aqua,02/04/2010,null,null,null,null,null
The Money Game II: Kabutochou no Kiseki,null,null,null,null,null,null
RoboBall,null,1,0,null,null,null
Eruption,03/08/2017,1,0,null,null,null
Espgaluda,14/10/2003,1,1,null,null,null
Endless Treasure Hunt,15/10/2017,1,0,null,null,null
Starbirds,null,null,null,null,null,null
Zen Chess: Mate in Three,null,1,0,null,null,null
Escape until friday,null,1,0,null,null,null
Cradle Of Egypt,null,null,null,null,null,null
Crayon Poke,null,null,null,null,null,null
Princess and Frog,31/01/1983,null,null,null,null,null
VBS2,null,null,null,null,null,null
Backgammon,null,null,null,null,null,null
Iznogoud,09/07/1998,null,null,null,null,null
Hard Core,null,null,null,null,null,null
Dancing Blade Katteni Momotenshi!,26/08/1998,1,0,null,null,null
Space Shuttle Mission 2007,null,null,null,null,null,null
Stickman Dismounting,09/03/2017,null,null,null,null,null
PC Fútbol 2006,null,null,null,null,null,null
Robot Battle,07/04/2020,1,1,ESRB-RP,null,null
Skumring,28/04/2013,null,null,null,null,null
Sorting Baby Blocks for Boys 3D Smart Shapes Games,null,null,null,null,null,null
Pachi-Slot Aruze Ōkoku 5,14/11/2001,null,null,null,null,null
Elitserien 2001,null,null,null,null,null,null
Star Wars: Jedi Trials,null,null,null,null,null,null
Bipolar,null,null,null,null,null,null
Jirbo Break,null,null,null,null,null,null
Dwarven Brawl Bros,24/06/2015,0,1,null,null,null
New International Track & Field,19/06/2008,null,null,ESRB-E10,null,null
Fitness Village,null,null,null,null,null,null
FreeCell - Card Game,14/07/2011,null,null,null,null,null
Joy Mech Fight,20/05/1993,null,null,null,null,null
Indiana Jack,null,null,null,null,null,null
Hyperion,null,null,null,null,null,null
Battle Bay,02/05/2017,null,null,null,null,null
FINAL ARCHER VR,null,1,0,null,null,null
Street Fighter II DASH,25/12/1993,null,null,null,null,null
Disney Fantasia: Music Evolved,20/10/2014,1,0,null,null,null
Ashton's Family Resort,null,null,null,null,null,null
Dolmen,30/12/2021,1,0,ESRB-RP,null,null
Ultraman - Sūji de Asobō Ultra Land,null,null,null,null,null,null
Guitar Freaks & DrumMania: Masterpiece Silver,null,null,null,null,null,null
planktOs,02/02/2016,1,0,null,null,null
Sacrifice Of The Beloved,10/02/2019,1,0,PEGI-16,null,null
Wildland Animal Hunting,null,null,null,null,null,null
Inu Dai Suki!,05/01/1997,null,null,null,null,null
Fractured: A Tale of Two Worlds,null,null,null,null,null,null
Sword of the Dimacreation: Side Story - The Hunt of Rabbit,null,null,null,null,null,null
Fire Hoops,null,null,null,null,null,null
Dino Dave,null,null,null,null,null,null
Ostalgie: The Berlin Wall,null,1,0,null,null,null
Paranormal State: Poison Spring - Collector's Edition,08/04/2014,1,0,null,null,null
Touki Denshou Angel Eyes,null,null,null,null,null,null
Dead Superhero: comics action game in Crime City,null,null,null,null,null,null
Hidden Restaurant,null,null,null,null,null,null
Bomberman 64,19/12/2001,1,0,null,null,null
Anarchy Online: Lost Eden,13/12/2006,0,1,null,null,null
Rocats,null,null,null,null,null,null
WWE Mobile Madness,null,null,null,null,null,null
Bakuten Shoot Beyblade 2002: Takao Version,05/01/2003,null,null,null,null,null
Shady's Poopong: 20th Anniversary Edition,null,null,null,null,null,null
Cash Guns Chaos,16/11/2006,null,null,null,null,null
Astronomy VR,null,1,0,null,null,null
Border Break,01/08/2018,1,1,null,null,null
Slime Flight: VIP,null,null,null,null,null,null
Rilakkuma na Mainichi,null,null,null,null,null,null
RE:VICE[D],23/07/2014,1,0,null,null,null
Pawapuro Stadium,null,null,null,null,null,null
Coloring Game: Pixel,null,1,0,null,null,null
Red Siren: Space Defense,07/11/2018,1,0,null,null,null
Cordial Minuet,null,null,null,null,null,null
Royal Tumble,null,1,0,null,null,null
Balance of Soccer,null,1,1,null,null,null
Kakka to Ma no Tsuku Present!?,null,null,null,null,null,null
Vision of Aurora Borealis,21/08/2016,1,0,null,null,null
Ancient Taxi,null,null,null,null,null,null
Escape Lizards,09/04/2017,1,0,null,null,null
Skipper,16/10/2017,1,0,null,null,null
Ayame: Ningyou Ingi,null,null,null,null,null,null
NextRev: FP Ginoukentei Shiken 3-Kyuu,null,null,null,null,null,null
Valkyria Chronicles 2: DLC Pack 2,01/11/2009,1,0,ESRB-T,null,null
The EA Games Collection,31/08/2004,null,null,null,null,null
Die Türme von Hanoi,null,null,null,null,null,null
Die drei ??? - Das Geheimnis des Magiers,30/12/2000,1,0,null,null,null
Rock Band 4: Rivals Bundle,17/10/2016,0,1,ESRB-T,null,null
Pixelfence,31/01/2020,1,0,null,null,null
A Killer's Dream,null,null,null,null,null,null
Arcana Famiglia: Yūreisen no Majutsushi,null,null,null,null,null,null
Doraemon Memories: Nobi Dai no Omoi Izaru Daibouken,null,null,null,null,null,null
Substation,null,null,null,null,null,null
Downtown Nekketsu Jidaigeki,null,null,null,null,null,null
Raising the Flag on Mount Yo Momma,null,null,null,null,null,null
Luigi & Spaghetti,30/12/1992,1,0,null,null,null
Das neue Dr. Brain Gehirn Jogging Deluxe Version,null,null,null,null,null,null
Links: Championship Course: Castlepines,null,null,null,null,null,null
Mind Warp,null,null,null,null,null,null
Kat Trap: Planet of the Cat-Men,30/12/1987,1,0,null,null,null
Odd One Out Zebra,null,null,null,null,null,null
Ranma ½: Aka Neko Dan Teki Hihou,21/11/1993,null,null,null,null,null
Death of a Lich,23/08/2015,null,null,null,null,null
Call Of Duty: Modern Warfare - Season 5,04/08/2020,1,1,ESRB-M,null,null
Klustar,null,null,null,null,null,null
SimCity Graphics Set 2: Future Cities,null,null,null,null,null,null
PC Fútbol 2001,null,null,null,null,null,null
WRC Arcade,null,null,null,null,null,null
Roulette 3D,null,null,null,null,null,null
Battle Brothers: Warriors of the North,null,null,null,null,null,null
MEDAL OF LEGENDS,19/01/2020,1,0,null,null,null
Four Player Derby,null,null,null,null,null,null
Blast Out,20/09/2017,0,1,null,null,null
Sethian,08/11/2016,1,0,null,null,null
Free Royale,null,null,null,null,null,null
Lethal Weapon 3 Pinball,null,null,null,null,null,null
Bombing Quest,03/03/2020,1,0,null,null,null
Alice to Yume no Kuni no Shuunin-tachi,null,null,null,null,null,null
Teach Your Monster to Read - Phonics and Reading,null,null,null,ESRB-E,null,null
Tengai Makyou Jipang 7,null,null,null,null,null,null
Tonka Search & Rescue 2,null,null,null,null,null,null
The Starfire Soccer Challenge,30/12/1998,1,0,null,null,null
Fujiyama Buster,31/12/1992,1,0,null,null,null
Castle Fall: Age of the Magogs,null,null,null,null,null,null
Last Protection,null,1,0,null,null,null
Tales From Windy Meadow,19/12/2018,1,0,null,null,null
Jikkyou Powerful Pro Yakyuu 2013,null,null,null,null,null,null
Lords of the Fallen: Demonic Weapon Pack,27/10/2014,null,null,null,null,null
Bicqlo Vader,30/10/2012,null,null,null,null,null
Higurashi no Naku Koro ni: Onikakushi-hen,null,null,null,null,null,null
Gravity Balls,15/10/2017,1,0,null,null,null
Crazy Chicken: Jewel of Darkness,28/08/2008,1,0,null,null,null
Citadel,30/12/1985,1,0,null,null,null
Outdoor Cosplay,null,null,null,null,null,null
Venture Forth,30/06/2016,1,0,null,null,null
TOCA Racer Driver 3,21/03/2006,null,null,null,null,null
Bricks In The Box,null,1,0,null,null,null
PapiBatting,null,null,null,null,null,null
Hanzo Quest,null,null,null,null,null,null
Quest for Sleeping Beauty,null,null,null,null,null,null
Classic NES Series: Pac-Man,01/06/2004,1,0,null,null,null
Swat Police,02/05/2001,null,null,null,null,null
Vision 2,null,null,null,null,null,null
Save Halloween: City of Witches,08/05/2016,1,0,null,null,null
Dark Savior,29/12/1996,null,null,null,null,null
Castle Kong,04/06/2020,1,0,ESRB-E,null,null
Great Battles Medieval,null,null,null,null,null,null
Scale Star,null,null,null,null,null,null
